Time (s),Orientation - Pitch (°),Orientation - Roll (°),Orientation - Yaw (°)
0.00,-1.00,0.00,0.00
0.15,-1.00,0.00,0.00
0.30,-1.00,0.00,0.00
0.45,-1.00,0.00,0.00
0.60,-1.00,0.00,0.00
0.75,3.00,0.00,0.00
0.90,27.00,5.00,-14.00
1.05,26.00,5.00,-39.00
1.20,28.00,-17.00,-63.00
1.35,21.00,-43.00,-94.00
1.50,14.00,-40.00,-120.00
1.65,11.00,-9.00,-150.00
1.80,16.00,-16.00,-176.00
1.95,15.00,-33.00,158.00
2.10,10.00,-40.00,132.00
2.25,10.00,-31.00,102.00
2.40,12.00,-23.00,75.00
2.55,16.00,-25.00,47.00
2.70,22.00,-33.00,21.00
2.85,8.00,-26.00,4.00
3.00,1.00,-6.00,24.00
3.12,14.00,30.00,48.00
3.30,24.00,31.00,76.00
3.42,14.00,10.00,105.00
3.60,16.00,16.00,130.00
3.72,19.00,34.00,159.00
3.90,18.00,30.00,-173.00
4.02,11.00,13.00,-144.00
4.20,18.00,28.00,-119.00
4.32,16.00,32.00,-89.00
4.50,13.00,18.00,-56.00
4.62,12.00,16.00,-35.00
4.77,18.00,36.00,-9.00
4.92,3.00,28.00,-9.00
5.07,4.00,-15.00,-29.00
5.22,21.00,-47.00,-57.00
5.37,18.00,-30.00,-82.00
5.52,11.00,-7.00,-113.00
5.67,18.00,-36.00,-136.00
5.82,18.00,-41.00,-167.00
5.97,11.00,-17.00,167.00
6.12,12.00,-18.00,138.00
6.27,21.00,-42.00,106.00
6.42,15.00,-34.00,82.00
6.57,7.00,-12.00,55.00
6.72,17.00,-33.00,29.00
6.87,7.00,-38.00,9.00
7.02,2.00,-9.00,24.00
7.17,11.00,29.00,45.00
7.32,20.00,37.00,76.00
7.47,15.00,19.00,100.00
7.62,17.00,15.00,129.00
7.77,20.00,37.00,154.00
7.92,14.00,32.00,-174.00
8.07,7.00,13.00,-148.00
8.22,12.00,24.00,-120.00
8.37,19.00,37.00,-94.00
8.52,14.00,23.00,-64.00
8.67,15.00,17.00,-38.00
8.82,18.00,22.00,-8.00
8.97,1.00,31.00,-14.00
9.12,2.00,-11.00,-33.00
9.27,20.00,-55.00,-55.00
9.42,17.00,-42.00,-87.00
9.57,16.00,-17.00,-111.00
9.72,18.00,-16.00,-139.00
9.87,23.00,-36.00,-172.00
10.02,19.00,-37.00,163.00
10.17,15.00,-22.00,138.00
10.32,14.00,-24.00,110.00
10.47,17.00,-40.00,77.00
10.62,15.00,-34.00,54.00
10.77,13.00,-23.00,28.00
10.92,12.00,-28.00,7.00
11.07,4.00,-15.00,25.00
11.22,12.00,28.00,46.00
11.37,20.00,42.00,74.00
11.52,12.00,20.00,105.00
11.67,9.00,12.00,136.00
11.82,19.00,30.00,160.00
11.97,23.00,29.00,-166.00
12.12,14.00,11.00,-143.00
12.27,12.00,13.00,-119.00
12.42,23.00,26.00,-90.00
12.57,25.00,25.00,-57.00
12.72,17.00,23.00,-35.00
12.87,18.00,25.00,-9.00
13.02,2.00,24.00,-12.00
13.17,9.00,-18.00,-37.00
13.32,23.00,-54.00,-62.00
13.47,17.00,-42.00,-94.00
13.62,6.00,-2.00,-118.00
13.77,21.00,-20.00,-147.00
13.92,24.00,-39.00,-172.00
14.07,24.00,-32.00,163.00
14.22,19.00,-14.00,134.00
14.37,17.00,-20.00,111.00
14.52,16.00,-34.00,79.00
14.67,17.00,-39.00,54.00
14.82,11.00,-25.00,23.00
14.97,6.00,-20.00,2.00
15.12,-3.00,-12.00,28.00
15.27,6.00,29.00,49.00
15.42,18.00,39.00,80.00
15.57,17.00,15.00,110.00
15.72,17.00,12.00,135.00
15.87,21.00,32.00,157.00
16.02,18.00,34.00,-170.00
16.17,14.00,24.00,-139.00
16.29,7.00,18.00,-115.00
16.47,11.00,23.00,-91.00
16.62,14.00,25.00,-60.00
16.77,21.00,24.00,-29.00
16.92,13.00,26.00,-4.00
17.07,4.00,17.00,-10.00
17.22,5.00,-11.00,-31.00
17.37,19.00,-45.00,-52.00
17.52,18.00,-33.00,-84.00
17.67,14.00,-11.00,-114.00
17.82,17.00,-31.00,-138.00
17.97,19.00,-38.00,-171.00
18.12,17.00,-33.00,164.00
18.27,22.00,-21.00,135.00
18.42,19.00,-32.00,110.00
18.57,19.00,-31.00,79.00
18.72,14.00,-27.00,55.00
18.87,14.00,-28.00,25.00
19.02,8.00,-33.00,9.00
19.17,-3.00,-15.00,27.00
19.32,5.00,35.00,48.00
19.47,24.00,43.00,82.00
19.62,15.00,19.00,105.00
19.77,12.00,9.00,136.00
19.92,18.00,33.00,158.00
20.07,10.00,39.00,-177.00
20.22,9.00,19.00,-145.00
20.37,7.00,21.00,-119.00
20.52,19.00,32.00,-90.00
20.67,19.00,25.00,-59.00
20.82,14.00,17.00,-34.00
20.97,12.00,23.00,-10.00
21.12,0.00,33.00,0.00
21.27,-28.00,19.00,2.00
21.42,-39.00,-14.00,0.00
21.57,-24.00,-31.00,0.00
21.72,-4.00,-12.00,4.00
21.87,4.00,21.00,8.00
22.02,5.00,26.00,11.00
22.17,7.00,-4.00,9.00
22.32,-2.00,-32.00,4.00
22.47,-2.00,-21.00,2.00
22.62,6.00,13.00,4.00
22.77,11.00,26.00,9.00
22.92,8.00,0.00,8.00
23.07,0.00,-28.00,2.00
23.22,-1.00,-22.00,0.00
23.37,6.00,12.00,0.00
23.52,15.00,26.00,4.00
23.67,10.00,2.00,8.00
23.82,1.00,-26.00,4.00
23.97,-7.00,-25.00,1.00
24.12,-1.00,4.00,3.00
24.27,9.00,24.00,4.00
24.42,8.00,9.00,6.00
24.57,0.00,-21.00,3.00
24.72,-2.00,-28.00,-1.00
24.87,1.00,0.00,-3.00
25.02,7.00,24.00,0.00
25.17,11.00,12.00,3.00
25.32,6.00,-19.00,4.00
25.47,-7.00,-28.00,1.00
25.62,-2.00,-5.00,0.00
25.77,3.00,20.00,0.00
25.92,8.00,12.00,1.00
26.07,5.00,-18.00,4.00
26.22,-5.00,-28.00,2.00
26.37,-2.00,-5.00,0.00
26.52,1.00,19.00,0.00
26.67,5.00,14.00,1.00
26.82,2.00,-15.00,3.00
26.97,-5.00,-28.00,2.00
27.12,0.00,-8.00,0.00
27.27,4.00,18.00,0.00
27.42,8.00,17.00,1.00
27.57,5.00,-10.00,4.00
27.72,-4.00,-27.00,3.00
27.87,-2.00,-11.00,2.00
28.02,3.00,15.00,0.00
28.17,4.00,18.00,1.00
28.32,2.00,-6.00,2.00
28.47,-3.00,-25.00,3.00
28.62,-3.00,-14.00,2.00
28.77,4.00,11.00,1.00
28.92,8.00,19.00,1.00
